ip,port,severity_score,exploit_score,distinct_vulnerabilities,combined_score
192.168.1.18,0,1.0,1.0,1.0,1.0
192.168.1.1,1900,0.9812108559498955,0.006896551724137931,0.008264462809917356,0.49432728605417264
192.168.1.1,548,0.6541405706332637,0.006896551724137931,0.01652892561983471,0.3324450359578402
192.168.1.1,80,0.49060542797494777,0.006896551724137931,0.04132231404958678,0.2556361423146326
192.168.1.1,67,0.49060542797494777,0.0,0.0,0.24530271398747389
192.168.1.1,443,0.38158199953607047,0.020689655172413793,0.1322314049586777,0.2234441773114949
192.168.1.20,22,0.32707028531663185,0.027586206896551724,0.09090909090909091,0.18999282290909963
192.168.1.1,0,0.13380148035680392,0.0,0.08264462809917356,0.08342966579823667
192.168.1.18,8834,0.115436571288223,0.0,0.12396694214876033,0.08251167407386356
192.168.1.20,10000,0.115436571288223,0.0,0.12396694214876033,0.08251167407386356
192.168.1.2,0,0.09812108559498955,0.0,0.03305785123966942,0.05567211304542866
192.168.1.22,0,0.09812108559498955,0.0,0.03305785123966942,0.05567211304542866
192.168.1.12,3001,0.07008648971070681,0.0,0.09917355371900827,0.054877955599155065
192.168.1.12,0,0.05451171421943864,0.0,0.06611570247933884,0.04047899760558709
192.168.1.20,0,0.037738879074995985,0.0,0.09917355371900827,0.03870415028129964
192.168.1.17,0,0.0,0.0,0.05785123966942149,0.011570247933884299
192.168.1.3,0,0.0,0.0,0.05785123966942149,0.011570247933884299
192.168.1.4,0,0.0,0.0,0.05785123966942149,0.011570247933884299
192.168.1.8,0,0.0,0.0,0.05785123966942149,0.011570247933884299
192.168.1.13,0,0.0,0.0,0.049586776859504134,0.009917355371900827
192.168.1.20,80,0.0,0.0,0.049586776859504134,0.009917355371900827
192.168.1.11,0,0.0,0.0,0.04132231404958678,0.008264462809917356
192.168.1.17,80,0.0,0.0,0.03305785123966942,0.006611570247933885
192.168.1.1,49152,0.0,0.0,0.03305785123966942,0.006611570247933885
192.168.1.12,7000,0.0,0.0,0.024793388429752067,0.0049586776859504135
192.168.1.18,111,0.0,0.0,0.024793388429752067,0.0049586776859504135
192.168.1.3,7000,0.0,0.0,0.024793388429752067,0.0049586776859504135
192.168.1.12,1961,0.0,0.0,0.024793388429752067,0.0049586776859504135
192.168.1.19,0,0.0,0.0,0.024793388429752067,0.0049586776859504135
192.168.1.12,1756,0.0,0.0,0.024793388429752067,0.0049586776859504135
192.168.1.1,5555,0.0,0.0,0.024793388429752067,0.0049586776859504135
192.168.1.3,5000,0.0,0.0,0.024793388429752067,0.0049586776859504135
192.168.1.4,7000,0.0,0.0,0.024793388429752067,0.0049586776859504135
192.168.1.18,902,0.0,0.0,0.01652892561983471,0.0033057851239669425
192.168.1.8,10247,0.0,0.0,0.01652892561983471,0.0033057851239669425
192.168.1.8,2869,0.0,0.0,0.01652892561983471,0.0033057851239669425
192.168.1.12,36866,0.0,0.0,0.01652892561983471,0.0033057851239669425
192.168.1.12,3000,0.0,0.0,0.008264462809917356,0.0016528925619834713
192.168.1.12,1381,0.0,0.0,0.008264462809917356,0.0016528925619834713
192.168.1.12,1736,0.0,0.0,0.008264462809917356,0.0016528925619834713
192.168.1.12,18181,0.0,0.0,0.008264462809917356,0.0016528925619834713
192.168.1.12,1956,0.0,0.0,0.008264462809917356,0.0016528925619834713
192.168.1.3,54051,0.0,0.0,0.008264462809917356,0.0016528925619834713
192.168.1.1,53,0.0,0.0,0.008264462809917356,0.0016528925619834713
192.168.1.18,1716,0.0,0.0,0.008264462809917356,0.0016528925619834713
192.168.1.12,1327,0.0,0.0,0.008264462809917356,0.0016528925619834713
192.168.1.12,1266,0.0,0.0,0.008264462809917356,0.0016528925619834713
192.168.1.17,135,0.0,0.0,0.008264462809917356,0.0016528925619834713
192.168.1.1,33344,0.0,0.0,0.008264462809917356,0.0016528925619834713
192.168.1.1,3333,0.0,0.0,0.008264462809917356,0.0016528925619834713
192.168.1.11,62078,0.0,0.0,0.008264462809917356,0.0016528925619834713
192.168.1.11,49152,0.0,0.0,0.008264462809917356,0.0016528925619834713
192.168.1.12,1728,0.0,0.0,0.008264462809917356,0.0016528925619834713
192.168.1.1,631,0.0,0.0,0.0,0.0
192.168.1.17,445,0.0,0.0,0.0,0.0
192.168.1.4,137,0.0,0.0,0.0,0.0
192.168.1.4,5000,0.0,0.0,0.0,0.0
192.168.1.4,51157,0.0,0.0,0.0,0.0
192.168.1.4,5353,0.0,0.0,0.0,0.0
192.168.1.1,20005,0.0,0.0,0.0,0.0
192.168.1.8,1900,0.0,0.0,0.0,0.0
192.168.1.3,57621,0.0,0.0,0.0,0.0
192.168.1.20,5353,0.0,0.0,0.0,0.0
192.168.1.3,5353,0.0,0.0,0.0,0.0
192.168.1.22,5353,0.0,0.0,0.0,0.0
192.168.1.17,2179,0.0,0.0,0.0,0.0
192.168.1.18,22,0.0,0.0,0.0,0.0
192.168.1.12,5353,0.0,0.0,0.0,0.0
192.168.1.12,7250,0.0,0.0,0.0,0.0
192.168.1.17,49674,0.0,0.0,0.0,0.0
192.168.1.17,49668,0.0,0.0,0.0,0.0
192.168.1.17,49667,0.0,0.0,0.0,0.0
192.168.1.17,49666,0.0,0.0,0.0,0.0
192.168.1.17,49665,0.0,0.0,0.0,0.0
192.168.1.17,49664,0.0,0.0,0.0,0.0
